Year,Rank,Team,Conference,PrimaryColor,SecondaryColor
2021,1,Nebraska ,Big Ten,#e41c38,#fdf2d9
2021,2,Standford ,Pac 12,#8c1515,#4d4f53
2021,3,Kentucky,SEC,#0033a0,#000000
2021,4,Penn State,Big Ten,#041e42,#ffffff
2021,5,Creighton,Big East,#005ca9,#00235d
2021,6,BYU,WCC,#002e5d,#0062b8
2021,7,USC,Pac 12,#990000,#ffc72c
2021,8,Minnesota,Big Ten,#7a0019, #ffcc33
2021,9,Baylor,Big 12,#154734,#ffb81c
2021,10,Purdue ,Big Ten,#ceb888,#373a36
2021,11,Ohio State,Big Ten,#bb0000,#666666
2021,12,Kansas,Big 12,#0051ba,e8000d
2021,13,Notre Dame,ACC,#0c2340,#c99700
2021,14,UCLA,Pac 12,#2d68c4,#f2a900
2021,15,Florida State,ACC,#782f40,#ceb888
