Team: ,Conference
Arizona,Pac 12
Auburn,SEC
Baylor,Big 12
BYU,WCC 
California,Pac 12
Colorado,Pac 12
Creighton,Big East
Florida ,SEC
Florida State,ACC 
Illinois,Big Ten
Indiana,Big Ten
Kansas,BIG 12
Kentucky,SEC
LSU,SEC
Maryland,Big Ten
Michigan State,Big Ten
Minnesota,Big Ten
Nebraska ,Big Ten
North Carolina,ACC
Notre Dame,ACC
Ohio State,Big Ten
Oregon,Pac 12
Penn State,Big Ten
Purdue ,Big Ten
Standford ,Pac 12
TCU,Big 12
Texas,Big 12
UCLA,Pac 12
USC,Pac 12
Utah,Pac 12
Washington,Pac 12
Wisconsin,Big Ten
