Team,Year ,Conference,Division,Expected Wins,Total Games,Total Wins,Total Losses ,Conference Wins,Conference Loses,Home Wins,Home Losses,Away Wins,Away Losses
Illinois ,2017,Big Ten,West,2.1,12,2,10,0,9,2,5,0,5
Indiana ,2017,Big Ten,East,5.6,12,5,7,2,7,3,3,2,4
Iowa,2017,Big Ten,West ,7.9,13,8,5,4,5,5,2,2,3
Maryland,2017,Big Ten,East,3.1,12,4,8,2,7,2,4,2,4
Michigan,2017,Big Ten,East,8,13,8,5,5,4,4,2,3,2
Michigan State,2017,Big Ten,East,9.4,13,10,3,7,2,6,1,3,2
Minnesota,2017,Big Ten,West,4.9,12,5,7,2,7,4,3,1,4
Nebraska,2017,Big Ten,West,3.4,12,4,8,3,6,2,5,2,3
Northwestern,2017,Big Ten,West,8.5,13,10,3,7,2,6,1,3,2
Ohio State,2017,Big Ten,East,11.5,14,12,2,9,1,6,1,4,1
Penn State,2017,Big Ten,East,10.5,13,11,2,7,2,7,0,3,2
Purdue,2017,Big Ten,West,7.4,13,7,6,4,5,4,2,2,3
Rutgers,2017,Big Ten,East,3.1,12,4,8,3,6,3,4,1,4
Wisconsin,2017,Big Ten,West ,13,14,13,1,9,1,7,0,6,0
Illinois ,2018,Big Ten,West,4.1,12,4,8,2,7,3,3,1,4
Indiana ,2018,Big Ten,East,5,12,5,7,2,7,3,4,2,3
Iowa,2018,Big Ten,West ,8.6,13,9,4,5,4,5,2,3,2
Maryland,2018,Big Ten,East,6,12,5,7,3,6,3,3,1,4
Michigan,2018,Big Ten,East,9.6,13,10,3,8,1,7,0,3,2
Michigan State,2018,Big Ten,East,7.2,13,7,6,5,4,4,3,3,2
Minnesota,2018,Big Ten,West,7.1,13,7,6,3,6,5,2,1,4
Nebraska,2018,Big Ten,West,6.8,12,4,8,3,6,4,3,0,5
Northwestern,2018,Big Ten,West,8.3,14,9,5,8,2,3,4,5,0
Ohio State,2018,Big Ten,East,10.3,14,13,1,9,1,7,0,3,1
Penn State,2018,Big Ten,East,10.6,13,9,4,6,3,5,2,4,1
Purdue,2018,Big Ten,West,6.8,13,6,7,5,4,3,4,3,2
Rutgers,2018,Big Ten,East,1.2,12,1,11,0,9,1,6,0,5
Wisconsin,2018,Big Ten,West ,8.1,13,8,5,5,4,5,2,2,3
Illinois ,2019,Big Ten,West,5.4,13,6,7,4,5,3,4,3,2
Indiana ,2019,Big Ten,East,8.1,13,8,5,5,4,4,2,3,2
Iowa,2019,Big Ten,West ,7.7,13,10,3,6,3,6,1,3,2
Maryland,2019,Big Ten,East,3.3,12,3,9,1,8,2,4,1,5
Michigan,2019,Big Ten,East,9.2,13,9,4,6,3,6,1,3,2
Michigan State,2019,Big Ten,East,8.3,13,7,6,4,5,4,3,2,3
Minnesota,2019,Big Ten,West,10.2,13,11,2,7,2,6,1,4,1
Nebraska,2019,Big Ten,West,6.2,12,5,7,3,6,3,4,2,3
Northwestern,2019,Big Ten,West,4.7,12,3,9,1,8,2,5,1,4
Ohio State,2019,Big Ten,East,13.3,14,13,1,10,0,7,0,5,0
Penn State,2019,Big Ten,East,9.9,13,11,2,7,2,7,0,3,2
Purdue,2019,Big Ten,West,4.4,12,4,8,3,6,3,4,1,4
Rutgers,2019,Big Ten,East,1.7,12,2,10,0,9,2,5,0,5
Wisconsin,2019,Big Ten,West ,11.1,14,10,4,7,3,7,0,3,2
Illinois ,2020,Big Ten,West,2.3,8,2,6,2,6,0,3,2,3
Indiana ,2020,Big Ten,East,4.4,8,6,2,6,1,3,0,3,1
Iowa,2020,Big Ten,West ,6.3,8,6,2,6,2,3,1,3,1
Maryland,2020,Big Ten,East,2.3,5,2,3,2,3,1,1,1,2
Michigan,2020,Big Ten,East,2.2,6,2,4,2,4,0,3,2,1
Michigan State,2020,Big Ten,East,2.6,7,2,5,2,5,1,3,1,2
Minnesota,2020,Big Ten,West,3.3,7,3,4,3,4,1,2,2,2
Nebraska ,2020,Big Ten,West,3.5,8,3,5,3,5,1,2,2,3
Northwestern,2020,Big Ten,West,6.1,9,7,2,6,2,4,0,2,1
Ohio State,2020,Big Ten,East,6.9,8,7,1,6,0,3,0,2,0
Penn State,2020,Big Ten,East,5.3,9,4,5,4,5,2,3,2,2
Purdue,2020,Big Ten,West,1.2,6,2,4,2,4,1,3,1,1
Rutgers,2020,Big Ten,East,2,9,3,6,3,6,0,5,3,1
Wisconsin,2020,Big Ten,West ,4.8,7,4,3,3,3,2,1,1,2
Illinois ,2021,Big Ten,West,6.1,12,5,7,4,5,3,4,2,3
Indiana ,2021,Big Ten,East,2.9,12,2,10,0,9,1,5,1,5
Iowa,2021,Big Ten,West ,6.7,12,10,2,7,2,6,1,4,1
Maryland,2021,Big Ten,East,5.2,12,6,6,3,6,4,3,2,3
Michigan,2021,Big Ten,East,10.7,12,11,1,8,1,7,0,4,1
Michigan State,2021,Big Ten,East,8.4,12,10,2,7,2,6,0,4,2
Minnesota,2021,Big Ten,West,9.1,12,8,4,6,3,4,3,4,1
Nebraska,2021,Big Ten,West,7.6,12,3,9,1,8,3,4,0,5
Northwestern,2021,Big Ten,West,3.4,12,3,9,1,8,3,3,0,5
Ohio State,2021,Big Ten,East,9.2,12,10,2,8,1,6,1,4,1
Penn State,2021,Big Ten,East,7,12,7,5,4,5,5,2,2,3
Purdue,2021,Big Ten,West,6,12,8,4,6,3,4,2,3,2
Rutgers,2021,Big Ten,East,4.1,12,5,7,2,7,2,4,3,3
Wisconsin,2021,Big Ten,West ,8,12,8,4,6,3,5,2,3,1
